,ItemID,Options,Sentence,SentenceDef,SentenceID,UnitID,Word,WordDef,WordID,WordPhonetic,WordRomaji,WordTone,WordClass
0,2231022,"[{""Content"": ""原簿と[照合]する。"", ""Remark"": ""与底账核对。"", ""DefId"": 8857843, ""MixItems"": [""ごたごた"", ""戸締り"", ""探知""], ""Right"": ""照合"", ""SubType"": 4}, {""Content"": ""照合"", ""Remark"": """", ""DefId"": 8857843, ""MixItems"": [""のがれる"", ""とじまり"", ""ちゃくしゅ""], ""Right"": ""しょうごう"", ""SubType"": 1}, {""Content"": """", ""Remark"": ""しょうごう"", ""DefId"": 8857843, ""MixItems"": [""逃跑，逃脱，摆脱"", ""锁门，紧闭门户"", ""着手，开始""], ""Right"": ""对照。核对"", ""SubType"": 2}]",原簿と[照合]する。,与底账核对。,1973816,1,照合,【名・他动词・サ变/三类】对照。核对。,8857843,しょうごう,syougou,◎,名・他动词・サ变/三类
1,1874346,"[{""Content"": ""台風から[逃れる]ために、漁船は進路を変えた。"", ""Remark"": ""为了摆脱台风，渔船改变了前进的方向。"", ""DefId"": 7446111, ""MixItems"": [""オフィシャル"", ""戸締り"", ""下す""], ""Right"": ""逃れる"", ""SubType"": 4}, {""Content"": ""逃れる"", ""Remark"": """", ""DefId"": 7446111, ""MixItems"": [""とじまり"", ""しょうごう"", ""ちゃくしゅ""], ""Right"": ""のがれる"", ""SubType"": 1}, {""Content"": """", ""Remark"": ""のがれる"", ""DefId"": 7446111, ""MixItems"": [""锁门，紧闭门户"", ""对照。核对"", ""下达命令、结论""], ""Right"": ""逃跑，逃脱，摆脱"", ""SubType"": 2}]",台風から[逃れる]ために、漁船は進路を変えた。,为了摆脱台风，渔船改变了前进的方向。,1093171,1,逃れる,【自动词・一段/二类】逃跑，逃脱，摆脱,7446111,のがれる,nogareru,③,自动词・一段/二类
2,1874347,"[{""Content"": ""ごたごた"", ""Remark"": """", ""DefId"": 7567769, ""MixItems"": [""のがれる"", ""とじまり"", ""しょうごう""], ""Right"": ""（屋子等场所）乱糟糟；乱说，胡说八道"", ""SubType"": 1}, {""Content"": """", ""Remark"": ""ごたごた"", ""DefId"": 7567769, ""MixItems"": [""逃跑，逃脱，摆脱"", ""锁门，紧闭门户"", ""对照。核对""], ""Right"": ""（屋子等场所）乱糟糟；乱说，胡说八道"", ""SubType"": 2}, {""Content"": ""[ごたごた]した部屋"", ""Remark"": ""东西放得乱七八糟的屋子"", ""DefId"": 7567769, ""MixItems"": [""逃れる"", ""疎遠"", ""照合""], ""Right"": ""ごたごた"", ""SubType"": 4}]",[ごたごた]した部屋,东西放得乱七八糟的屋子,1197051,1,ごたごた,【副词・自动词・サ变/三类】（屋子等场所）乱糟糟；乱说，胡说八道,7567769,ごたごた,gotagota,①或◎或④,副词・自动词・サ变/三类
3,1874348,"[{""Content"": ""二人の仲は[疎遠]になった。"", ""Remark"": ""两人的关系疏远了。"", ""DefId"": 7558298, ""MixItems"": [""オフィシャル"", ""ごたごた"", ""戸締り""], ""Right"": ""疎遠"", ""SubType"": 4}, {""Content"": ""疎遠"", ""Remark"": """", ""DefId"": 7558298, ""MixItems"": [""ひけつ"", ""げんみつ"", ""けんち""], ""Right"": ""そえん"", ""SubType"": 1}, {""Content"": """", ""Remark"": ""そえん"", ""DefId"": 7558298, ""MixItems"": [""秘诀，窍门，捷径"", ""对照。核对"", ""发抖，毛骨悚然""], ""Right"": ""（关系）疏远"", ""SubType"": 2}]",二人の仲は[疎遠]になった。,两人的关系疏远了。,1184929,1,疎遠,【形容动词/ナ形容词】（关系）疏远,7558298,そえん,soenn,◎,形容动词/ナ形容词
4,1874349,"[{""Content"": ""道徳的[見地]から見る。"", ""Remark"": ""从道德的立场来看。"", ""DefId"": 7427438, ""MixItems"": [""厳密"", ""インフラ"", ""一帯""], ""Right"": ""見地"", ""SubType"": 4}, {""Content"": ""見地"", ""Remark"": """", ""DefId"": 7427438, ""MixItems"": [""ひけつ"", ""こうたく"", ""きゅうめい""], ""Right"": ""けんち"", ""SubType"": 1}, {""Content"": """", ""Remark"": ""けんち"", ""DefId"": 7427438, ""MixItems"": [""秘诀，窍门，捷径"", ""拙劣的作品"", ""光泽""], ""Right"": ""观点，立场；查看土地"", ""SubType"": 2}]",消費者の[見地]からすると、この決定は妥当なものと言える。,从消费者的观点来看，可以说这个决定是妥当的。,1092243,1,見地,【名词】观点，立场；查看建筑用地,7427438,けんち,kennchi,①,名词
5,1874350,"[{""Content"": ""[厳密]な調査"", ""Remark"": ""严密的调查"", ""DefId"": 7558102, ""MixItems"": [""オフィシャル"", ""ごたごた"", ""戸締り""], ""Right"": ""厳密"", ""SubType"": 4}, {""Content"": ""厳密"", ""Remark"": """", ""DefId"": 7558102, ""MixItems"": [""のがれる"", ""けんち"", ""そえん""], ""Right"": ""げんみつ"", ""SubType"": 1}, {""Content"": """", ""Remark"": ""げんみつ"", ""DefId"": 7558102, ""MixItems"": [""秘诀，窍门，捷径"", ""观点，立场；查看土地"", ""杂乱。乱七八糟""], ""Right"": ""严密，严格，周密"", ""SubType"": 2}]",[厳密]な調査,严密的调查,1184733,1,厳密,【形容动词/ナ形容词】严密，严格，周密,7558102,げんみつ,gennmitsu,◎,形容动词/ナ形容词
6,1874351,"[{""Content"": ""[オフィシャル]な場での発言"", ""Remark"": ""在正式场合的发言"", ""DefId"": 7567428, ""MixItems"": [""ごたごた"", ""戸締り"", ""疎遠""], ""Right"": ""オフィシャル"", ""SubType"": 4}, {""Content"": ""オフィシャル"", ""Remark"": """", ""DefId"": 7567428, ""MixItems"": [""对照。核对"", ""严密，严格，周密"", ""锁门，紧闭门户""], ""Right"": ""正式的，公认的，官方的"", ""SubType"": 1}, {""Content"": """", ""Remark"": ""オフィシャル"", ""DefId"": 7567428, ""MixItems"": [""锁门，紧闭门户"", ""发抖，毛骨悚然"", ""逃跑，逃脱，摆脱""], ""Right"": ""正式的，公认的，官方的"", ""SubType"": 2}]",[オフィシャル]な場での発言,在正式场合的发言,1196706,1,オフィシャル,【形容动词/ナ形容词】正式的，公认的，官方的,7567428,オフィシャル,ofisharu,①,形容动词/ナ形容词
7,1874353,"[{""Content"": ""ぞっと"", ""Remark"": """", ""DefId"": 10090259, ""MixItems"": [""逃跑，逃脱，摆脱"", ""严密，严格，周密"", ""对照。核对。""], ""Right"": ""发抖，毛骨悚然"", ""SubType"": 1}, {""Content"": """", ""Remark"": ""ぞっと"", ""DefId"": 10090259, ""MixItems"": [""断然，干脆，斩钉截铁"", ""没常性。没准性子。反复无常"", ""精粹。精华""], ""Right"": ""发抖，毛骨悚然"", ""SubType"": 2}, {""Content"": ""彼女は死んだ猫を見て[ぞっと]した。"", ""Remark"": ""她看到死猫，吓得发抖。"", ""DefId"": 10090259, ""MixItems"": [""きっぱり"", ""照合"", ""粋""], ""Right"": ""ぞっと"", ""SubType"": 4}]",彼女は死んだ猫を見て[ぞっと]した。,她看到死猫，吓得发抖。,926925,1,ぞっと,【副词】发抖，毛骨悚然,10090259,ぞっと,zotto,◎,副词
8,1874354,"[{""Content"": ""[戸締り]を厳重にして出かける。"", ""Remark"": ""紧锁房门后再出去。"", ""DefId"": 7955195, ""MixItems"": [""逃れる"", ""秘訣"", ""下す""], ""Right"": ""戸締り"", ""SubType"": 4}, {""Content"": ""戸締り"", ""Remark"": """", ""DefId"": 7955195, ""MixItems"": [""のがれる"", ""しょうごう"", ""ちゃくしゅ""], ""Right"": ""とじまり"", ""SubType"": 1}, {""Content"": """", ""Remark"": ""とじまり"", ""DefId"": 7955195, ""MixItems"": [""逃跑，逃脱，摆脱"", ""对照。核对"", ""下达命令、结论""], ""Right"": ""锁门，紧闭门户"", ""SubType"": 2}]",[戸締り]を厳重にして出かける。,紧锁房门后再出去。,1839143,1,戸締り,【名・自他・サ变/三类】锁门，紧闭门户,7955195,とじまり,tojimari,②,名・自他・サ变/三类
9,1874355,"[{""Content"": ""語学上達に[秘訣]などがない。"", ""Remark"": ""学好外语没有捷径。"", ""DefId"": 7569594, ""MixItems"": [""逃れる"", ""駄作"", ""インフラ""], ""Right"": ""秘訣"", ""SubType"": 4}, {""Content"": ""秘訣"", ""Remark"": """", ""DefId"": 7569594, ""MixItems"": [""けんち"", ""こうたく"", ""いったい""], ""Right"": ""ひけつ"", ""SubType"": 1}, {""Content"": """", ""Remark"": ""ひけつ"", ""DefId"": 7569594, ""MixItems"": [""观点，立场；查看土地"", ""拙劣的作品"", ""光泽""], ""Right"": ""秘诀，窍门，捷径"", ""SubType"": 2}]",語学上達に[秘訣]などがない。,学好外语没有捷径。,1199178,1,秘訣,【名词】秘诀，窍门，捷径,7569594,ひけつ,hiketsu,◎,名词
10,1874356,"[{""Content"": ""駄作"", ""Remark"": """", ""DefId"": 7569332, ""MixItems"": [""きゅうめい"", ""いったい"", ""こうたく""], ""Right"": ""ださく"", ""SubType"": 1}, {""Content"": """", ""Remark"": ""ださく"", ""DefId"": 7569332, ""MixItems"": [""光泽"", ""救生，救命"", ""一带，整个区域""], ""Right"": ""拙劣的作品"", ""SubType"": 2}, {""Content"": ""これは[駄作]だ。"", ""Remark"": ""这是个拙劣之作。"", ""DefId"": 7569332, ""MixItems"": [""救命"", ""インフラ"", ""一帯""], ""Right"": ""駄作"", ""SubType"": 4}]",これは[駄作]だ。,这是个拙劣之作。,10192037,2,駄作,【名词】拙劣的作品,7569332,ださく,dasaku,◎,名词
11,1874357,"[{""Content"": ""大震災で[インフラ]が崩壊した。"", ""Remark"": ""由于大地震，基础设施遭到了破坏。"", ""DefId"": 7567400, ""MixItems"": [""光沢"", ""一帯"", ""駄作""], ""Right"": ""インフラ"", ""SubType"": 4}, {""Content"": ""インフラ"", ""Remark"": """", ""DefId"": 7567400, ""MixItems"": [""拙劣的作品"", ""光泽"", ""一带，整个区域""], ""Right"": ""（简称）公共基础设施"", ""SubType"": 1}, {""Content"": """", ""Remark"": ""インフラ"", ""DefId"": 7567400, ""MixItems"": [""拙劣的作品"", ""一带，整个区域"", ""救生，救命""], ""Right"": ""（简称）公共基础设施"", ""SubType"": 2}]",大震災で[インフラ]が崩壊した。,由于大地震，基础设施遭到了破坏。,1196677,2,インフラ,【名词】（简称）公共基础设施,7567400,インフラ,innfura,◎,名词
12,1874358,"[{""Content"": ""[理不尽]なことをする。"", ""Remark"": ""做蛮不讲理的事情。"", ""DefId"": 7558599, ""MixItems"": [""インフラ"", ""光沢"", ""救命""], ""Right"": ""理不尽"", ""SubType"": 4}, {""Content"": ""理不尽"", ""Remark"": """", ""DefId"": 7558599, ""MixItems"": [""いったい"", ""きゅうめい"", ""くだす""], ""Right"": ""りふじん"", ""SubType"": 1}, {""Content"": """", ""Remark"": ""りふじん"", ""DefId"": 7558599, ""MixItems"": [""（简称）公共基础设施"", ""惊人的，惊奇的"", ""救生，救命""], ""Right"": ""不讲理，不说理"", ""SubType"": 2}]",[理不尽]なことをする。,做蛮不讲理的事情。,1185230,2,理不尽,【形容动词/ナ形容词】不讲理，不说理,7558599,りふじん,rifujinn,②,形容动词/ナ形容词
13,1874359,"[{""Content"": ""SOSは[救命]を求める信号だ。"", ""Remark"": ""“SOS”是呼救信号。"", ""DefId"": 7955021, ""MixItems"": [""光沢"", ""駄作"", ""一帯""], ""Right"": ""救命"", ""SubType"": 4}, {""Content"": ""救命"", ""Remark"": """", ""DefId"": 7955021, ""MixItems"": [""ださく"", ""いったい"", ""こうたく""], ""Right"": ""きゅうめい"", ""SubType"": 1}, {""Content"": """", ""Remark"": ""きゅうめい"", ""DefId"": 7955021, ""MixItems"": [""光泽"", ""（简称）公共基础设施"", ""一带，整个区域""], ""Right"": ""救生，救命"", ""SubType"": 2}]",SOSは[救命]を求める信号だ。,“SOS”是呼救信号。,1372413,2,救命,【名词】救生，救命,7955021,きゅうめい,kyuumei,◎,名词
14,1874360,"[{""Content"": ""[驚異的]な発明"", ""Remark"": ""惊人的发明"", ""DefId"": 7558713, ""MixItems"": [""駄作"", ""理不尽"", ""下す""], ""Right"": ""驚異的"", ""SubType"": 4}, {""Content"": ""驚異的"", ""Remark"": """", ""DefId"": 7558713, ""MixItems"": [""りふじん"", ""ださく"", ""きゅうめい""], ""Right"": ""きょういてき"", ""SubType"": 1}, {""Content"": """", ""Remark"": ""きょういてき"", ""DefId"": 7558713, ""MixItems"": [""一带，整个区域"", ""拙劣的作品"", ""下达命令、结论""], ""Right"": ""惊人的，惊奇的"", ""SubType"": 2}]",[驚異的]な発明,惊人的发明,1185345,2,驚異的,【形容动词/ナ形容词】惊人的，惊奇的,7558713,きょういてき,kyouiteki,◎,形容动词/ナ形容词
15,1874361,"[{""Content"": ""命令を[下す]。"", ""Remark"": ""下命令。"", ""DefId"": 7558096, ""MixItems"": [""一帯"", ""探知"", ""照合""], ""Right"": ""下す"", ""SubType"": 4}, {""Content"": ""下す"", ""Remark"": """", ""DefId"": 7558096, ""MixItems"": [""ちゃくしゅ"", ""たんち"", ""のがれる""], ""Right"": ""くだす"", ""SubType"": 1}, {""Content"": """", ""Remark"": ""くだす"", ""DefId"": 7558096, ""MixItems"": [""着手，开始"", ""探知，发现，侦察"", ""对照。核对""], ""Right"": ""下达命令、结论"", ""SubType"": 2}]",命令を[下す]。,下命令。,1184727,2,下す,【他动词・五段/一类】下达命令、结论,7558096,くだす,kudasu,◎,他动词・五段/一类
16,1874362,"[{""Content"": ""関東[一帯]に雨が降った。"", ""Remark"": ""关东一带下雨了。"", ""DefId"": 7954746, ""MixItems"": [""光沢"", ""駄作"", ""救命""], ""Right"": ""一帯"", ""SubType"": 4}, {""Content"": ""一帯"", ""Remark"": """", ""DefId"": 7954746, ""MixItems"": [""ださく"", ""きゅうめい"", ""こうたく""], ""Right"": ""いったい"", ""SubType"": 1}, {""Content"": """", ""Remark"": ""いったい"", ""DefId"": 7954746, ""MixItems"": [""救生，救命"", ""（简称）公共基础设施"", ""光泽""], ""Right"": ""一带，整个区域"", ""SubType"": 2}]",関東[一帯]に雨が降った。,关东一带下雨了。,1372103,2,一帯,【名词】一带，整个区域,7954746,いったい,ittai,◎,名词
17,1874363,"[{""Content"": ""磨いて[光沢]を出す"", ""Remark"": ""打磨出光泽来"", ""DefId"": 7429484, ""MixItems"": [""駄作"", ""一帯"", ""インフラ""], ""Right"": ""光沢"", ""SubType"": 4}, {""Content"": ""光沢"", ""Remark"": """", ""DefId"": 7429484, ""MixItems"": [""ださく"", ""きゅうめい"", ""いったい""], ""Right"": ""こうたく"", ""SubType"": 1}, {""Content"": """", ""Remark"": ""こうたく"", ""DefId"": 7429484, ""MixItems"": [""救生，救命"", ""（简称）公共基础设施"", ""拙劣的作品""], ""Right"": ""光泽"", ""SubType"": 2}]",こんな美しい[光沢]の生地は見たことがない。,从来没有见过光泽这么美丽的质地。,1094114,2,光沢,【名词】光泽,7429484,こうたく,koutaku,◎,名词
18,1874364,"[{""Content"": ""仕事に[着手]する"", ""Remark"": ""着手工作"", ""DefId"": 7955045, ""MixItems"": [""下す"", ""探知"", ""驚異的""], ""Right"": ""着手"", ""SubType"": 4}, {""Content"": ""着手"", ""Remark"": """", ""DefId"": 7955045, ""MixItems"": [""くだす"", ""たんち"", ""しょうごう""], ""Right"": ""ちゃくしゅ"", ""SubType"": 1}, {""Content"": """", ""Remark"": ""ちゃくしゅ"", ""DefId"": 7955045, ""MixItems"": [""下达命令、结论"", ""探知，发现，侦察"", ""锁门，紧闭门户""], ""Right"": ""着手，开始"", ""SubType"": 2}]",仕事に[着手]する,着手工作,1372438,2,着手,【名・自动词・サ变/三类】着手，开始,7955045,ちゃくしゅ,chakushu,①或◎,名・自动词・サ变/三类
19,1874365,"[{""Content"": ""敵の動静を[探知]する。"", ""Remark"": ""侦察敌人的动静。"", ""DefId"": 10078815, ""MixItems"": [""下す"", ""着手"", ""インフラ""], ""Right"": ""探知"", ""SubType"": 4}, {""Content"": ""探知"", ""Remark"": """", ""DefId"": 10078815, ""MixItems"": [""くだす"", ""ちゃくしゅ"", ""のがれる""], ""Right"": ""たんち"", ""SubType"": 1}, {""Content"": """", ""Remark"": ""たんち"", ""DefId"": 10078815, ""MixItems"": [""下达命令、结论"", ""着手，开始"", ""对照。核对""], ""Right"": ""探知，发现，侦察"", ""SubType"": 2}]",敵の動静を[探知]する。,侦察敌人的动静。,10058246,2,探知,【名・他动词・サ变/三类】探知，发现，侦察,10078815,たんち,tannchi,①或◎,名・他动词・サ变/三类
20,1961008,"[{""Content"": ""欲する"", ""Remark"": """", ""DefId"": 8853170, ""MixItems"": [""こす"", ""しょうだく"", ""ひめる""], ""Right"": ""ほっする"", ""SubType"": 1}, {""Content"": """", ""Remark"": ""ほっする"", ""DefId"": 8853170, ""MixItems"": [""答应，同意"", ""隐藏；隐瞒，秘而不宣"", ""减轻""], ""Right"": ""欲。希望。想要得到"", ""SubType"": 2}, {""Content"": ""心の[欲する]所に従う。"", ""Remark"": ""随心所欲。"", ""DefId"": 8853170, ""MixItems"": [""軽減"", ""秘める"", ""にきび""], ""Right"": ""欲する"", ""SubType"": 4}]",心の[欲する]所に従う。,随心所欲。,1967451,3,欲する,【他动词・サ变/三类】欲。希望。想要得到。,8853170,ほっする,hossuru,◎或③,他动词・サ变/三类
21,1874366,"[{""Content"": ""水を[濾す]。"", ""Remark"": ""滤水。"", ""DefId"": 8854004, ""MixItems"": [""承諾"", ""軽減"", ""病""], ""Right"": ""濾す"", ""SubType"": 4}, {""Content"": ""濾す"", ""Remark"": """", ""DefId"": 8854004, ""MixItems"": [""ほっする"", ""れんたい"", ""ひめる""], ""Right"": ""こす"", ""SubType"": 1}, {""Content"": """", ""Remark"": ""こす"", ""DefId"": 8854004, ""MixItems"": [""连带，共同负责"", ""答应，同意"", ""隐藏；隐瞒，秘而不宣""], ""Right"": ""过滤。滤"", ""SubType"": 2}]",水を[濾す]。,滤水。,1968517,3,濾す,【他动词・五段/一类】过滤。滤。,8854004,こす,kosu,◎或①,他动词・五段/一类
22,1874367,"[{""Content"": ""先輩に菓子の[製法]を教わる。"", ""Remark"": ""跟着师傅学习糕点的制作方法。"", ""DefId"": 7569260, ""MixItems"": [""病"", ""連帯"", ""一連""], ""Right"": ""製法"", ""SubType"": 4}, {""Content"": ""製法"", ""Remark"": """", ""DefId"": 7569260, ""MixItems"": [""やまい"", ""いちれん"", ""こうたく""], ""Right"": ""せいほう"", ""SubType"": 1}, {""Content"": """", ""Remark"": ""せいほう"", ""DefId"": 7569260, ""MixItems"": [""疾病；坏习惯，毛病"", ""青春痘"", ""一连串，一系列""], ""Right"": ""（点心、料理等）制作方法"", ""SubType"": 2}]",先輩に菓子の[製法]を教わる。,跟着师傅学习糕点的制作方法。,1198812,3,製法,【名词】（点心、料理等）制作方法,7569260,せいほう,seihou,◎,名词
23,1874368,"[{""Content"": ""胸に[秘めた]愛を彼女に告白する。"", ""Remark"": ""把埋藏在心里的爱向她告白。"", ""DefId"": 7558625, ""MixItems"": [""欲する"", ""作戦"", ""心強い""], ""Right"": ""秘めた"", ""SubType"": 4}, {""Content"": ""秘める"", ""Remark"": """", ""DefId"": 7558625, ""MixItems"": [""こす"", ""しょうだく"", ""ほっする""], ""Right"": ""ひめる"", ""SubType"": 1}, {""Content"": """", ""Remark"": ""ひめる"", ""DefId"": 7558625, ""MixItems"": [""连带，共同负责"", ""想得到，想要"", ""过滤。滤""], ""Right"": ""隐藏；隐瞒，秘而不宣"", ""SubType"": 2}]",胸に[秘めた]愛を彼女に告白する。,把埋藏在心里的爱向她告白。,1185256,3,秘める,【他动词・一段/二类】隐藏；隐瞒，秘而不宣,7558625,ひめる,himeru,②,他动词・一段/二类
24,1874369,"[{""Content"": ""不治の[病]にかかる。"", ""Remark"": ""患上了不治之症"", ""DefId"": 7569829, ""MixItems"": [""製法"", ""にきび"", ""秘める""], ""Right"": ""病"", ""SubType"": 4}, {""Content"": ""病"", ""Remark"": """", ""DefId"": 7569829, ""MixItems"": [""せいほう"", ""いちれん"", ""きゅうめい""], ""Right"": ""やまい"", ""SubType"": 1}, {""Content"": """", ""Remark"": ""やまい"", ""DefId"": 7569829, ""MixItems"": [""（点心、料理等）制作方法"", ""青春痘"", ""一连串，一系列""], ""Right"": ""疾病；坏习惯，毛病"", ""SubType"": 2}]",不治の[病]にかかる。,患上了不治之症,1199435,3,病,【名词】疾病；坏习惯，毛病,7569829,やまい,yamai,①,名词
25,1874370,"[{""Content"": ""顔に[にきび]ができる。"", ""Remark"": ""脸上长青春痘了。"", ""DefId"": 7569528, ""MixItems"": [""製法"", ""病"", ""秘める""], ""Right"": ""にきび"", ""SubType"": 4}, {""Content"": ""にきび"", ""Remark"": """", ""DefId"": 7569528, ""MixItems"": [""（点心、料理等）制作方法"", ""疾病；坏习惯，毛病"", ""一连串，一系列""], ""Right"": ""青春痘"", ""SubType"": 1}, {""Content"": """", ""Remark"": ""にきび"", ""DefId"": 7569528, ""MixItems"": [""（点心、料理等）制作方法"", ""疾病；坏习惯，毛病"", ""一连串，一系列""], ""Right"": ""青春痘"", ""SubType"": 2}]",顔に[にきび]ができる。,脸上长青春痘了。,1199105,3,にきび,【名词】青春痘,7569528,にきび,nikibi,①,名词
26,1874371,"[{""Content"": ""仕事量を[軽減]する。"", ""Remark"": ""减轻工作量。"", ""DefId"": 7429053, ""MixItems"": [""欲する"", ""濾す"", ""連帯""], ""Right"": ""軽減"", ""SubType"": 4}, {""Content"": ""軽減"", ""Remark"": """", ""DefId"": 7429053, ""MixItems"": [""しょうだく"", ""こす"", ""ひめる""], ""Right"": ""けいげん"", ""SubType"": 1}, {""Content"": """", ""Remark"": ""けいげん"", ""DefId"": 7429053, ""MixItems"": [""答应，同意"", ""连带，共同负责"", ""隐藏；隐瞒，秘而不宣""], ""Right"": ""减轻"", ""SubType"": 2}]",仕事量を[軽減]する。,减轻工作量。,1199305,3,軽減,【名・他动词・サ变/三类】减轻,7429053,けいげん,keigenn,◎,名・他动词・サ变/三类
