,ItemID,Options,Sentence,SentenceDef,SentenceID,UnitID,Word,WordDef,WordID,WordPhonetic,WordRomaji,WordTone,WordClass
0,2188983,"[{""Content"": ""[確固]たる原則"", ""Remark"": ""坚定不移的原则"", ""DefId"": 7567733, ""MixItems"": [""失格"", ""借金"", ""稲光""], ""Right"": ""確固"", ""SubType"": 4}, {""Content"": ""確固"", ""Remark"": """", ""DefId"": 7567733, ""MixItems"": [""ほうふ"", ""めいよ"", ""むしょうに""], ""Right"": ""かっこ"", ""SubType"": 1}, {""Content"": """", ""Remark"": ""かっこ"", ""DefId"": 7567733, ""MixItems"": [""丰富"", ""名誉；荣誉"", ""很,非常,特别,极端""], ""Right"": ""坚定不移，不可动摇"", ""SubType"": 2}]",[確固]たる原則,坚定不移的原则,1197015,1,確固,【副词・形容动词/ナ形容词】坚定不移，不可动摇,7567733,かっこ,kakko,①,副词・形容动词/ナ形容词
1,2188984,"[{""Content"": ""[特権]を失う。"", ""Remark"": ""失去特权。"", ""DefId"": 7428650, ""MixItems"": [""稲光"", ""人通り"", ""南北""], ""Right"": ""特権"", ""SubType"": 4}, {""Content"": ""特権"", ""Remark"": """", ""DefId"": 7428650, ""MixItems"": [""うちがわ"", ""ひとどおり"", ""みっしつ""], ""Right"": ""とっけん"", ""SubType"": 1}, {""Content"": """", ""Remark"": ""とっけん"", ""DefId"": 7428650, ""MixItems"": [""闪电，闪光"", ""来往行人，人来人往"", ""内侧，里面""], ""Right"": ""特权"", ""SubType"": 2}]",[特権]を失う。,失去特权。,1199049,1,特権,【名词】特权,7428650,とっけん,tokkenn,◎,名词
2,2188985,"[{""Content"": ""売れない商品を[返品]する。"", ""Remark"": ""退回不销之货。"", ""DefId"": 7447701, ""MixItems"": [""出費"", ""失格"", ""確固""], ""Right"": ""返品"", ""SubType"": 4}, {""Content"": ""返品"", ""Remark"": """", ""DefId"": 7447701, ""MixItems"": [""しゃっきん"", ""しゅっぴ"", ""きばる""], ""Right"": ""へんぴん"", ""SubType"": 1}, {""Content"": """", ""Remark"": ""へんぴん"", ""DefId"": 7447701, ""MixItems"": [""开支，支出，费用"", ""顺应。适应"", ""发奋，努力""], ""Right"": ""退货，退还货物"", ""SubType"": 2}]",売れない商品を[返品]する。,退回不销之货。,1101962,1,返品,【名・他动词・サ变/三类】退货，退还货物,7447701,へんぴん,hennpinn,◎,名・他动词・サ变/三类
3,2188986,"[{""Content"": ""[気張って]仕事に取り組む。"", ""Remark"": ""努力投入到工作中。"", ""DefId"": 10063738, ""MixItems"": [""確固"", ""特権"", ""南北""], ""Right"": ""気張って"", ""SubType"": 4}, {""Content"": ""気張る"", ""Remark"": """", ""DefId"": 10063738, ""MixItems"": [""へんぴん"", ""まんぷく"", ""しゅっぴ""], ""Right"": ""きばる"", ""SubType"": 1}, {""Content"": """", ""Remark"": ""きばる"", ""DefId"": 10063738, ""MixItems"": [""退货，退还货物"", ""开支，支出，费用"", ""失去资格；不称职""], ""Right"": ""发奋，努力"", ""SubType"": 2}]",[気張って]仕事に取り組む。,努力投入到工作中。,10043503,1,気張る,【自动词・五段/一类】发奋，努力,10063738,きばる,kibaru,◎,自动词・五段/一类
4,2188987,"[{""Content"": ""[出費]を節約する"", ""Remark"": ""节约费用"", ""DefId"": 7954711, ""MixItems"": [""失格"", ""借金"", ""満腹""], ""Right"": ""出費"", ""SubType"": 4}, {""Content"": ""出費"", ""Remark"": """", ""DefId"": 7954711, ""MixItems"": [""しゃっきん"", ""しっかく"", ""じゅんのう""], ""Right"": ""しゅっぴ"", ""SubType"": 1}, {""Content"": """", ""Remark"": ""しゅっぴ"", ""DefId"": 7954711, ""MixItems"": [""顺应。适应"", ""吃饱"", ""失去资格；不称职""], ""Right"": ""开支，支出，费用"", ""SubType"": 2}]",[出費]を節約する,节约费用,1372065,1,出費,【名・自动词・サ变/三类】开支，支出，费用,7954711,しゅっぴ,shuppi,◎,名・自动词・サ变/三类
5,2188988,"[{""Content"": ""日本は[南北]に長い国です。"", ""Remark"": ""日本是个南北狭长的国家。"", ""DefId"": 8867809, ""MixItems"": [""特権"", ""稲光"", ""人通り""], ""Right"": ""南北"", ""SubType"": 4}, {""Content"": ""南北"", ""Remark"": """", ""DefId"": 8867809, ""MixItems"": [""あまぐ"", ""ひとどおり"", ""いなびかり""], ""Right"": ""なんぼく"", ""SubType"": 1}, {""Content"": """", ""Remark"": ""なんぼく"", ""DefId"": 8867809, ""MixItems"": [""来往行人，人来人往"", ""雨具"", ""闪电，闪光""], ""Right"": ""南北"", ""SubType"": 2}]",日本は[南北]に長い国です。,日本是个南北狭长的国家。,911919,1,南北,【名词】南北。,8867809,なんぼく,nannboku,①,名词
6,2188989,"[{""Content"": ""[密室]殺人。"", ""Remark"": ""密室杀人。"", ""DefId"": 6699138, ""MixItems"": [""内側"", ""南北"", ""雨具""], ""Right"": ""密室"", ""SubType"": 4}, {""Content"": ""密室"", ""Remark"": """", ""DefId"": 6699138, ""MixItems"": [""とっけん"", ""なんぼく"", ""うちがわ""], ""Right"": ""みっしつ"", ""SubType"": 1}, {""Content"": """", ""Remark"": ""みっしつ"", ""DefId"": 6699138, ""MixItems"": [""来往行人，人来人往"", ""雨具"", ""南北""], ""Right"": ""密室。（締めきって外から人が入れない部屋。また、人に知られないようにした秘密の部屋。）"", ""SubType"": 2}]",[密室]殺人。,密室杀人。,859138,1,密室,【名词】密室。（締めきって外から人が入れない部屋。また、人に知られないようにした秘密の部屋。）,6699138,みっしつ,miqsitu,◎,名词
7,2188990,"[{""Content"": ""[内側]からかぎをかける。"", ""Remark"": ""从里面锁上。"", ""DefId"": 7457442, ""MixItems"": [""学科"", ""雨具"", ""密室""], ""Right"": ""内側"", ""SubType"": 4}, {""Content"": ""内側"", ""Remark"": """", ""DefId"": 7457442, ""MixItems"": [""ひとどおり"", ""なんぼく"", ""いなびかり""], ""Right"": ""うちがわ"", ""SubType"": 1}, {""Content"": """", ""Remark"": ""うちがわ"", ""DefId"": 7457442, ""MixItems"": [""来往行人，人来人往"", ""闪电，闪光"", ""南北""], ""Right"": ""内侧，里面"", ""SubType"": 2}]",[内側]からかぎをかける。,从里面锁上。,1107660,1,内側,【名词】内侧，里面,7457442,うちがわ,uchigawa,◎,名词
8,2188991,"[{""Content"": ""[借金]を返す。"", ""Remark"": ""归还借款。"", ""DefId"": 7520670, ""MixItems"": [""失格"", ""気張る"", ""順応""], ""Right"": ""借金"", ""SubType"": 4}, {""Content"": ""借金"", ""Remark"": """", ""DefId"": 7520670, ""MixItems"": [""しゅっぴ"", ""じゅんのう"", ""しっかく""], ""Right"": ""しゃっきん"", ""SubType"": 1}, {""Content"": """", ""Remark"": ""しゃっきん"", ""DefId"": 7520670, ""MixItems"": [""退货，退还货物"", ""发奋，努力"", ""吃饱""], ""Right"": ""借款"", ""SubType"": 2}]",[借金]を返す。,归还借款。,1159760,1,借金,【名・自动词・サ变/三类】借款,7520670,しゃっきん,shakkinn,③,名・自动词・サ变/三类
9,2188992,"[{""Content"": ""親としては[失格]だ。"", ""Remark"": ""作为父母亲不称职。"", ""DefId"": 7550118, ""MixItems"": [""借金"", ""気張る"", ""満腹""], ""Right"": ""失格"", ""SubType"": 4}, {""Content"": ""失格"", ""Remark"": """", ""DefId"": 7550118, ""MixItems"": [""きばる"", ""まんぷく"", ""へんぴん""], ""Right"": ""しっかく"", ""SubType"": 1}, {""Content"": """", ""Remark"": ""しっかく"", ""DefId"": 7550118, ""MixItems"": [""吃饱"", ""发奋，努力"", ""顺应。适应""], ""Right"": ""失去资格；不称职"", ""SubType"": 2}]",親としては[失格]だ。,作为父母亲不称职。,1176592,1,失格,【名・自动词・サ变/三类】失去资格；不称职,7550118,しっかく,shikkaku,◎,名・自动词・サ变/三类
10,2188993,"[{""Content"": ""もう[満腹]です。"", ""Remark"": ""已经吃饱了。"", ""DefId"": 8867656, ""MixItems"": [""順応"", ""返品"", ""発展""], ""Right"": ""満腹"", ""SubType"": 4}, {""Content"": ""満腹"", ""Remark"": """", ""DefId"": 8867656, ""MixItems"": [""きばる"", ""じゅんのう"", ""しゅっぴ""], ""Right"": ""まんぷく"", ""SubType"": 1}, {""Content"": """", ""Remark"": ""まんぷく"", ""DefId"": 8867656, ""MixItems"": [""开支，支出，费用"", ""顺应。适应"", ""发奋，努力""], ""Right"": ""吃饱"", ""SubType"": 2}]",もう[満腹]です。,已经吃饱了。,1985501,1,満腹,【名・自动词・サ变/三类】吃饱。,8867656,まんぷく,mannpuku,◎,名・自动词・サ变/三类
11,2188994,"[{""Content"": ""この辺は[人通り]が激しい。"", ""Remark"": ""这一带来往的人很多。"", ""DefId"": 7552052, ""MixItems"": [""特権"", ""内側"", ""密室""], ""Right"": ""人通り"", ""SubType"": 4}, {""Content"": ""人通り"", ""Remark"": """", ""DefId"": 7552052, ""MixItems"": [""あまぐ"", ""うちがわ"", ""とっけん""], ""Right"": ""ひとどおり"", ""SubType"": 1}, {""Content"": """", ""Remark"": ""ひとどおり"", ""DefId"": 7552052, ""MixItems"": [""雨具"", ""内侧，里面"", ""特权""], ""Right"": ""来往行人，人来人往"", ""SubType"": 2}]",この辺は[人通り]が激しい。,这一带来往的人很多。,1178553,1,人通り,【名词】来往行人，人来人往,7552052,ひとどおり,hitodoori,◎,名词
