hiragana,katakana
あ,ア
い,イ
う,ウ
え,エ
お,オ
か,カ
き,キ
く,ク
け,ケ
こ,コ
さ,サ
し,シ
し,シ
す,ス
せ,セ
そ,ソ
た,タ
ち,チ
ち,チ
つ,ツ
つ,ツ
て,テ
と,ト
な,ナ
に,ニ
ぬ,ヌ
ね,ネ
の,ノ
は,ハ
ひ,ヒ
ふ,フ
ふ,フ
へ,ヘ
ほ,ホ
ま,マ
み,ミ
む,ム
め,メ
も,モ
や,ヤ
ゆ,ユ
よ,ヨ
ら,ラ
り,リ
る,ル
れ,レ
ろ,ロ
わ,ワ
を,ヲ
ん,ン
ん,ン
が,ガ
ぎ,ギ
ぐ,グ
げ,ゲ
ご,ゴ
ざ,ザ
じ,ジ
ず,ズ
ぜ,ゼ
ぞ,ゾ
だ,ダ
ぢ,ヂ
づ,ヅ
づ,ヅ
で,デ
ど,ド
ば,バ
び,ビ
ぶ,ブ
べ,ベ
ぼ,ボ
ぱ,パ
ぴ,ピ
ぷ,プ
ぺ,ペ
ぽ,ポ
きゃ,キャ
きゅ,キュ
きょ,キョ
しゃ,シャ
しゃ,シャ
しゅ,シュ
しゅ,シュ
しょ,ショ
しょ,ショ
ちゃ,チャ
ちゅ,チュ
ちょ,チョ
にゃ,ニャ
にゅ,ニュ
にょ,ニョ
ひゃ,ヒャ
ひゅ,ヒュ
ひょ,ヒョ
みゃ,ミャ
みゅ,ミュ
みょ,ミョ
りゃ,リャ
りゅ,リュ
りょ,リョ
ぎゃ,ギャ
ぎゅ,ギュ
ぎょ,ギョ
じゃ,ジャ
じゅ,ジュ
じょ,ジョ
じゃ,ジャ
じゅ,ジュ
じょ,ジョ
ぢゃ,ヂャ
ぢゅ,ヂュ
ぢょ,ヂョ
ぢゃ,ヂャ
ぢゅ,ヂュ
ぢょ,ヂョ
びゃ,ビャ
びゅ,ビュ
びょ,ビョ
ぴゃ,ピャ
ぴゅ,ピュ
ぴょ,ピョ
