Word,WordPhonetic,WordTune,Part,WordDef,Remark,Level
間,あいだ,0,名,间，间隔,【记】あい（合い→互相之间）だ（是）→间隔,N5
青,あお,1,名,蓝色；青色；绿色；不成熟,【记】あ（上）+お（う→宇）→上天→蓝色,N5
赤,あか,1,名,红色；完全,【记】あ（明）+か（加）→特别明亮→太阳→红色,N5
赤ちゃん,あかちゃん,1,名,婴儿,【记】あ（明）+か（加）→特别明亮→太阳→红色+ちゃん（小东西）→赤子→婴儿,N5
赤ん坊,あかんぼう,0,名,婴儿,【记】あ（明）+か（加）→特别明亮→太阳→红色+坊（ぼう→人）→赤子→婴儿,N5
秋,あき,1,名,秋天,【记】あ（明）+き（気）→明亮的感觉→秋高气爽→秋天,N5
朝,あさ,1,名,早上,【记】あ（明）+さ（颯→清）→明亮而清爽→早上,N5
朝日/旭,あさひ,1,名,朝日，旭日,【记】あ（明）+さ（颯→清）→明亮而清爽→早上+ひ（日）→朝日,N5
朝ご飯,あさごはん,3,名,早饭,【记】あ（明）+さ（颯→清）→明亮而清爽→早上+ご（敬语）+飯→早饭,N5
明後日,あさって,2,名,后天,【记】あさ（あす→明日）+て（手→方向）→从明天再往后→后天,N5
足/脚,あし,2,名,脚；腿,【记】あ（恶）+し（像）→身上脏的地方→腿；脚,N5
明日,あした,3,名,（现代语）明天,【记】あ（明）+した（现代语した→古语す→しゅ→種→种类）→明天,N5
あそこ,あそこ,0,名,（较远的）那里,【记】あ（上→上天→远）+そ（其→其他）+こ（地方）→（较远的）那里,N5
あちら,あちら,0,名,那里，那边；那位,【记】あ（上→上天→远）+ち（地）+ら（拉）→（较远的）那里,N5
後,あと,1,名,后；后面；以后,【记】あ（あし→足）+と（ところ→亦）→足+亦→跡→后,N5
あなた,あなた,2,名,你；老公,【记】あ（上）+な（の）+た（かた→方）→对对方的尊称→你，您,N5
兄,あに,1,名,（自己的）哥哥,【记】あ（上）+に（にん→人）→上边的人→哥哥,N5
姉,あね,0,名,（自己的）姐姐,【记】あ（上）+ね（に→にん→人）→上边的人→姐姐,N5
雨,あめ,1,名,雨；下雨,【记】あ（上）+め（も→もの→物）→天上下来的东西→雨,N5
安心,あんしん,0,名,安心，放心,,N5
安全,あんぜん,0,名,安全,,N5
案内,あんない,3,名,引导，领路；通知,,N5
家,いえ,2,名,家；房子,【记】い（一）+え（へ→方向）→一个方向→去，回→家,N5
以下,いか,1,名,以下,,N5
以外,いがい,1,名,以外,,N5
如何,いか,0,名,如何，怎么样,,N5
医学,いがく,1,名,医学,,N5
幾つ,いくつ,1,名,几个；几岁,【记】いく（いか→如何）+つ（次）→几,N5
幾ら,いくら,1,名,多少钱；多少次,【记】いく（いか→如何）+ら（拉）→多少,N5
石,いし,2,名,石头，石子；宝石,【记】い（一）+し（石）→一块石头,N5
医者,いしゃ,0,名,医生,,N5
以上,いじょう,1,名,以上,,N5
椅子,いす,0,名,椅子,,N5
以前,いぜん,1,名,以前，从前，过去,,N5
一,いち,2,名,一；第一；最初,,N5
一度,いちど,0,名,一次；一度,,N5
一日,いちにち,0,名,一天,,N5
一年,いちねん,2,名,一年；一年级,,N5
一枚,いちまい,2,名,一张，一片,,N5
一番,いちばん,2,名,第一个，第一号,,N5
一羽,いちわ,2,名,一只（鸡、鸭、鸟、兔等）,,N5
何時,いつ,1,名,什么时候,,N5
五日,いつか,0,名,五号，五日,,N5
五日間,いつかかん,3,名,五天,,N5
一回,いっかい,"3,0",名,一回，一次,,N5
一階,いっかい,0,名,一层，一楼,,N5
一個,いっこ,1,名,一个,,N5
一歳,いっさい,1,名,一岁,,N5
一冊,いっさつ,"4,0",名,一册，一本,,N5
一緒,いっしょ,0,名,一样，同样,,N5
一足,いっそく,4,名,一双（鞋、袜子等）,,N5
一体,いったい,0,名,一体；到底；总体上，整体上,,N5
一着,いっちゃく,"4,0",名,一套（衣服）,,N5
五つ,いつつ,2,名,五个；五岁,,N5
一通,いっつう,"3,0",名,一封（信）,,N5
一頭,いっとう,1,名,一头，一匹（牛、马、象等大型动物）,,N5
一杯,いっぱい,1,名,一杯,,N5
一匹,いっぴき,4,名,一条，一只（狗、金鱼、猫、昆虫等）,,N5
一分,いっぷん,1,名,一分钟,,N5
一本,いっぽん,1,名,一根；一条；一瓶（细长的东西）,,N5
以内,いない,1,名,以内,,N5
田舎,いなか,0,名,乡下，农村；故乡,【记】い（いる→居る→在）+なか（中）→待在家里→故乡,N5
犬,いぬ,2,名,狗，犬,【记】い（一）+ぬ（奴→奴仆）→一个奴仆→狗,N5
今,いま,1,名,现在；刚才；将来,【记】い（一）+ま（間）→一个时间,N5
意味,いみ,1,名,意思，意义,,N5
妹,いもうと,4,名,妹妹,【记】い（一）+も（め→女）+うと（ひと→人）→一个女人→妹妹,N5
入り口,いりぐち,0,名,入口,【记】い（一）+り（る→留）→留在一个地方→入；く（こ→口）+ち（乞）→口+乞→吃→嘴,N5
色,いろ,2,名,颜色，色彩,【记】い（一）+ろ（落）→一个落在大脑视觉中枢而产生的感觉→色,N5
上,うえ,0,名,上面，之上；年纪大,【记】う（宇）+え（へ→方向）→宇宙的方向→上,N5
受付,うけつけ,0,名,接待，接待处；挂号处,【记】う（宇）+け（く→方向）+る（留→长）→从天上来→接受；つ（刺）+け（く→方向）+る（留→长）→突出→附着,N5
動き,うごき,3,名,动作；摇动，摆动,【记】う（宇yu→羽yu）+ご（过）+き（く→方向）→羽毛摆动→动,N5
