kana,meaning,explain,example,example_explain
あ,01 「あ」表 示“明亮”，以“あ＋か行假名”为代表,"解析 あ是50 音图中发音最洪亮的假名，故有明亮之感。
熟词联想 あかい「赤い」：红色的",▶ あかい「赤い」 ②⓪（形）：红色的,"解 古代日本人不区分“红”和“亮”两个概念，因为明亮的太阳光和火光都偏红色。
例 赤あか い花はな が咲さ いている。/红色的花开了。"
あ,01 「あ」表 示“明亮”，以“あ＋か行假名”为代表,"解析 あ是50 音图中发音最洪亮的假名，故有明亮之感。
熟词联想 あかい「赤い」：红色的",▶ あか「赤」 ①（名）：红色,例 好す きな色いろ は赤あか だ。/我喜欢的颜色是红色。
あ,01 「あ」表 示“明亮”，以“あ＋か行假名”为代表,"解析 あ是50 音图中发音最洪亮的假名，故有明亮之感。
熟词联想 あかい「赤い」：红色的",▶ あかるい「明るい」 ⓪③（形）：明亮的；明朗的,"解 あか→明亮。
例 明あか るい部へ 屋や に住す んでいる。/住在明亮的房间里。"
あ,01 「あ」表 示“明亮”，以“あ＋か行假名”为代表,"解析 あ是50 音图中发音最洪亮的假名，故有明亮之感。
熟词联想 あかい「赤い」：红色的",▶ あきらか「明らか」 ②（形动）：明朗的；清楚的,"解 あき→明亮，らか→形容动词后缀。
例 犯人はんにん は誰だれ かはもう明あき らかだよ。/已经很清楚犯人是谁了。"
あ,01 「あ」表 示“明亮”，以“あ＋か行假名”为代表,"解析 あ是50 音图中发音最洪亮的假名，故有明亮之感。
熟词联想 あかい「赤い」：红色的",▶ あける「明ける」 ⓪（自一）：天亮了；过年,"解 あけ→明亮。
例 あけまして、おめでとうございます。/过年好。"
あ,01 「あ」表 示“明亮”，以“あ＋か行假名”为代表,"解析 あ是50 音图中发音最洪亮的假名，故有明亮之感。
熟词联想 あかい「赤い」：红色的",▶ あかす「明かす」 ⓪（他五）：证明；说出；揭露,"解 あか→明亮，す→使，让。
例 彼女かのじょ に本心ほんしん を明あ かす。/向她表明真心。
拓 あかし「証」：证明（动词ます形去掉ます后变为名词）"
あ,01 「あ」表 示“明亮”，以“あ＋か行假名”为代表,"解析 あ是50 音图中发音最洪亮的假名，故有明亮之感。
熟词联想 あかい「赤い」：红色的",▶ あかちゃん「赤ちゃん」 ①（名）：婴儿,"解 婴儿刚出生时皮肤是红色的。「ちゃん」是对人的爱称。
例 かわいい赤あか ちゃんが生う まれた。/可爱的婴儿出生了。"
あ,01 「あ」表 示“明亮”，以“あ＋か行假名”为代表,"解析 あ是50 音图中发音最洪亮的假名，故有明亮之感。
熟词联想 あかい「赤い」：红色的",▶ あかつき「暁」 ⓪（名）：拂晓，天亮,"解 あか→明亮，つき→とき→時（つ·と同属た行）。天亮时分。
例 鶏にわとり が暁あかつき を告つ げる。/鸡报晓。"
あ,01 「あ」表 示“明亮”，以“あ＋か行假名”为代表,"解析 あ是50 音图中发音最洪亮的假名，故有明亮之感。
熟词联想 あかい「赤い」：红色的",▶ あけがた「明け方」 ⓪（名）：天亮，黎明,"解 あけ→明亮，かた→方→时间。
例 明あ け方がた まで勉強べんきょう する。/学习到天亮。
拓 ゆうがた「夕方」：傍晚"
あ,02 「あざ」表示“鲜艳”,"解析 あ是50 音图中发音最洪亮的假名，故有明亮之感。
熟词联想 あかい「赤い」：红色的",▶ あか「垢」 ②（名）：污垢；水锈,"解 あか→明亮。污垢比较显眼。
例 瓶びん に垢あか がついた。/瓶子上沾上了污垢。
解析 「あ」由“明亮”引申出“鲜艳”之意。"
あ,02 「あざ」表示“鲜艳”,"解析 あ是50 音图中发音最洪亮的假名，故有明亮之感。
熟词联想 あかい「赤い」：红色的",▶ あざ「痣」 ②（名）：痣,"解 痣很显眼。
例 顔かお に痣あざ がある。/脸上有痣。"
あ,02 「あざ」表示“鲜艳”,"解析 あ是50 音图中发音最洪亮的假名，故有明亮之感。
熟词联想 あかい「赤い」：红色的",▶ あざわらう「嘲笑う」 ④（他五）：嘲笑,"解 あざ→痣，わらう→笑う→笑。笑对方的痣→嘲笑。
例 人ひと の失しっ 敗ぱい を嘲あざ 笑わら う。/嘲笑别人的失败。"
あ,02 「あざ」表示“鲜艳”,"解析 あ是50 音图中发音最洪亮的假名，故有明亮之感。
熟词联想 あかい「赤い」：红色的",▶ あざやか「鮮やか」 ②（形动）：鲜艳的，漂亮的,"解 あざ→鲜艳，やか→常见的形容动词后缀。
例 鮮あざ やかな色いろ が好す きだ。/我喜欢鲜艳的颜色。"
あ,03 「あ」表示“热”，以“あ＋た行假名”为代表,"解析 あ是50 音图中发音最洪亮的假名，故有明亮之感。
熟词联想 あかい「赤い」：红色的",▶ あざむく「欺く」 ③（他五）：欺骗，骗人,"解 あざ→鲜艳，むく→朝向。只把鲜艳的一面朝向对方→欺骗。
例 人ひと を欺あざむ く行こう 為い は許ゆる せない。/不允许欺骗别人。
熟词联想 あつい「暑い」：热"
あ,03 「あ」表示“热”，以“あ＋た行假名”为代表,"解析 あ是50 音图中发音最洪亮的假名，故有明亮之感。
熟词联想 あかい「赤い」：红色的",▶ あつい「暑い·熱い」 ②（形）：热的；烫的,例 今こ 年とし の夏なつ は特とく に暑あつ い。/今年夏天特别热。
あ,03 「あ」表示“热”，以“あ＋た行假名”为代表,"解析 あ是50 音图中发音最洪亮的假名，故有明亮之感。
熟词联想 あかい「赤い」：红色的",▶ あつい「厚い」 ⓪（形）：厚的,"解 穿得厚了就热。
例 厚あつ い服ふく を着き る。/穿厚衣服。"
あ,03 「あ」表示“热”，以“あ＋た行假名”为代表,"解析 あ是50 音图中发音最洪亮的假名，故有明亮之感。
熟词联想 あかい「赤い」：红色的",▶ あたたかい「暖かい·温かい」 ④（形）：温暖的；热情的,"解 あたた→热→温暖。
例 温あたた かいスープが飲の みたい。/我想喝热汤。"
